id;membership_id;member_type;active;has_physical_version;member_share;corporate_share;printing_date_time
1;streamline navigate;CHILD;false;false;Card;archive Human capability;2021-06-21T19:35:15
2;Front-line Berkshire;CHILD;false;true;New;networks transmit;2021-06-21T03:00:15
3;Cotton Forest;PARENT;false;true;Fords Human payment;relationships;2021-06-21T02:25:56
4;Squares Tactics hack;SPOUSE;true;false;Sum matrices;Fresh;2021-06-21T05:24:34
5;Visionary;CHILD;false;true;invoice Account;full-range bypass;2021-06-21T08:25:51
6;Soap Keyboard Nation;SPOUSE;true;false;Roads Associate;Micronesia;2021-06-21T03:57:45
7;Enhanced;SPOUSE;true;true;Avon Steel portals;Home application Networked;2021-06-21T12:12:52
8;COM Avon object-orie;SPOUSE;false;true;synthesizing feed task-force;Card Cotton Borders;2021-06-21T18:43:22
9;compressing;SPOUSE;true;true;Tasty program asynchronous;PCI Harbor;2021-06-21T05:41:21
10;brand Dobra Shoes;CHILD;false;false;Intelligent;blue deposit;2021-06-21T10:49:48
